iter	Passed	Remaining
0	329	111153
1	649	109158
2	826	92343
3	1036	86555
4	1316	87685
5	1568	86806
6	1824	86286
7	1995	82304
8	2256	82501
9	2431	79748
10	2694	80092
11	3036	82502
12	3317	82949
13	3592	83142
14	3889	83760
15	4101	82548
16	4432	83701
17	4699	83538
18	5029	84446
19	5214	82917
20	5558	83901
21	5851	84049
22	6046	82810
23	6298	82411
24	6569	82248
25	6742	80909
26	6909	79592
27	7076	78347
28	7340	78216
29	7652	78565
30	7925	78485
31	8110	77558
32	8376	77416
33	8696	77752
34	8917	77201
35	9188	77080
36	9460	76960
37	9767	77114
38	9947	76261
39	10252	76382
40	10469	75843
41	10643	75011
42	10912	74861
43	11210	74908
44	11513	74963
45	11836	75134
46	12105	74953
47	12334	74523
48	12786	75411
49	13124	75595
50	13304	74868
51	13485	74168
52	13818	74306
53	14103	74175
54	14340	73789
55	14654	73795
56	14940	73655
57	15225	73503
58	15480	73205
59	15833	73361
60	16143	73305
61	16488	73402
62	16790	73293
63	17072	73091
64	17349	72866
65	17536	72273
66	17755	71818
67	17929	71188
68	18199	70951
69	18502	70838
70	18809	70733
71	19107	70593
72	19428	70526
73	19702	70290
74	19880	69714
75	20072	69197
76	20392	69123
77	20683	68946
78	20904	68534
79	21181	68311
80	21487	68174
81	21777	67987
82	22023	67661
83	22287	67393
84	22464	66863
85	22645	66356
86	22910	66097
87	23211	65942
88	23393	65450
89	23678	65246
90	23894	64857
91	24204	64719
92	24413	64315
93	24685	64078
94	25019	63996
95	25316	63818
96	25576	63546
97	25766	63101
98	26093	62994
99	26284	62556
100	26487	62152
101	26675	61719
102	26980	61557
103	27325	61481
104	27551	61138
105	27750	60736
106	27967	60377
107	28238	60138
108	28499	59875
109	28807	59710
110	28979	59265
111	29157	58834
112	29451	58641
113	29720	58398
114	29991	58156
115	30278	57945
116	30573	57750
117	30810	57443
118	30979	57012
119	31226	56728
120	31517	56522
121	31698	56121
122	31903	55765
123	32106	55409
124	32351	55127
125	32564	54791
126	32869	54610
127	33117	54332
128	33562	54375
129	33771	54034
130	34152	53966
131	34356	53617
132	34658	53421
133	34963	53227
134	35239	52989
135	35537	52783
136	35838	52580
137	36190	52450
138	36396	52107
139	36557	51703
140	36778	51385
141	37001	51072
142	37286	50845
143	37469	50479
144	37759	50258
145	37938	49892
146	38180	49608
147	38559	49502
148	38830	49255
149	39011	48894
150	39212	48560
151	39512	48350
152	39789	48112
153	40083	47892
154	40365	47657
155	40590	47356
156	40841	47085
157	41059	46776
158	41225	46410
159	41508	46177
160	41704	45848
161	41937	45561
162	42230	45339
163	42414	45001
164	42678	44748
165	42951	44503
166	43167	44201
167	43370	43886
168	43617	43617
169	43940	43423
170	44221	43186
171	44526	42972
172	44704	42637
173	44876	42296
174	45054	41965
175	45241	41642
176	45541	41424
177	45715	41092
178	45888	40761
179	46058	40429
180	46347	40202
181	46524	39878
182	46819	39655
183	47109	39428
184	47385	39188
185	47563	38869
186	47787	38587
187	48089	38368
188	48394	38152
189	48673	37914
190	48928	37656
191	49145	37370
192	49395	37110
193	49686	36881
194	49877	36577
195	50146	36330
196	50332	36024
197	50591	35771
198	50964	35598
199	51144	35290
200	51395	35030
201	51662	34782
202	51883	34503
203	52055	34193
204	52226	33883
205	52505	33644
206	52690	33345
207	52867	33042
208	53149	32805
209	53355	32521
210	53579	32249
211	53794	31972
212	54090	31743
213	54387	31514
214	54645	31262
215	54810	30957
216	55085	30715
217	55258	30417
218	55557	30188
219	55816	29938
220	55984	29638
221	56165	29347
222	56480	29126
223	56790	28902
224	57051	28652
225	57205	28349
226	57471	28102
227	57629	27803
228	57892	27555
229	58149	27304
230	58451	27074
231	58701	26820
232	58974	26576
233	59255	26335
234	59519	26087
235	59699	25802
236	59877	25517
237	60125	25262
238	60304	24979
239	60585	24738
240	60849	24491
241	61146	24256
242	61314	23970
243	61595	23729
244	61778	23450
245	62067	23212
246	62381	22982
247	62665	22741
248	62842	22461
249	63019	22183
250	63304	21942
251	63639	21718
252	63831	21445
253	64005	21167
254	64180	20889
255	64485	20655
256	64649	20375
257	64947	20138
258	65121	19863
259	65291	19587
260	65623	19360
261	65823	19093
262	65999	18821
263	66262	18573
264	66433	18300
265	66709	18056
266	66975	17809
267	67217	17556
268	67380	17283
269	67627	17032
270	67789	16759
271	67950	16487
272	68230	16245
273	68476	15994
274	68663	15730
275	68841	15464
276	69125	15222
277	69302	14957
278	69513	14699
279	69790	14456
280	70083	14216
281	70379	13976
282	70665	13733
283	70846	13470
284	71122	13226
285	71449	12990
286	71638	12730
287	71944	12490
288	72211	12243
289	72459	11993
290	72780	11754
291	72959	11493
292	73237	11248
293	73509	11001
294	73792	10756
295	74102	10514
296	74413	10272
297	74687	10025
298	74867	9765
299	75175	9522
300	75418	9270
301	75703	9024
302	75996	8778
303	76175	8519
304	76355	8261
305	76633	8013
306	76908	7765
307	77204	7519
308	77560	7279
309	77855	7032
310	78032	6774
311	78221	6518
312	78396	6261
313	78594	6007
314	78865	5758
315	79128	5508
316	79445	5262
317	79644	5009
318	79936	4761
319	80112	4506
320	80436	4259
321	80680	4008
322	80879	3756
323	81240	3510
324	81521	3260
325	81789	3010
326	81968	2757
327	82156	2504
328	82339	2252
329	82622	2002
330	82810	1751
331	83131	1502
332	83391	1252
333	83695	1002
334	83885	751
335	84054	500
336	84300	250
337	84461	0
